timestamp,device_id,device_type,src_ip,dst_ip,connection_count,bytes_sent,bytes_received
2025-12-14 21:03:13,cam_livingroom,camera,192.168.1.165,48.12.140.125,27,286173,530961
2025-12-14 21:03:13,thermostat_hall,thermostat,192.168.1.59,55.52.44.216,7,78696,138315
2025-12-14 21:03:13,plug_bedroom,smart_plug,192.168.1.10,27.47.111.119,2,42510,47048
2025-12-14 21:03:13,lock_frontdoor,smart_lock,192.168.1.131,174.13.101.214,1,3099,45503
2025-12-14 21:03:13,speaker_kitchen,smart_speaker,192.168.1.58,134.142.3.81,7,132569,134598
2025-12-14 21:08:13,cam_livingroom,camera,192.168.1.180,128.174.142.79,17,237052,524715
2025-12-14 21:08:13,thermostat_hall,thermostat,192.168.1.57,106.52.47.194,5,74662,73470
2025-12-14 21:08:13,plug_bedroom,smart_plug,192.168.1.26,111.176.135.22,3,28796,68211
2025-12-14 21:08:13,lock_frontdoor,smart_lock,192.168.1.188,137.63.193.40,1,38818,35865
2025-12-14 21:08:13,speaker_kitchen,smart_speaker,192.168.1.143,95.185.98.35,7,110821,199467
2025-12-14 21:13:13,cam_livingroom,camera,192.168.1.13,189.116.148.40,26,104032,283976
2025-12-14 21:13:13,thermostat_hall,thermostat,192.168.1.220,79.51.194.142,6,77247,134452
2025-12-14 21:13:13,plug_bedroom,smart_plug,192.168.1.118,182.186.83.189,2,32386,31822
2025-12-14 21:13:13,lock_frontdoor,smart_lock,192.168.1.92,73.136.36.87,1,13226,27194
2025-12-14 21:13:13,speaker_kitchen,smart_speaker,192.168.1.120,117.138.112.166,140,836768,1023071
2025-12-14 21:18:13,cam_livingroom,camera,192.168.1.217,34.117.16.161,28,358212,560968
2025-12-14 21:18:13,thermostat_hall,thermostat,192.168.1.104,88.33.108.161,4,64578,117937
2025-12-14 21:18:13,plug_bedroom,smart_plug,192.168.1.56,187.255.202.234,3,33867,47844
2025-12-14 21:18:13,lock_frontdoor,smart_lock,192.168.1.38,87.71.126.134,2,34849,35279
2025-12-14 21:18:13,speaker_kitchen,smart_speaker,192.168.1.193,169.219.204.185,12,158918,219779
2025-12-14 21:23:13,cam_livingroom,camera,192.168.1.58,55.252.46.24,24,456464,122531
2025-12-14 21:23:13,thermostat_hall,thermostat,192.168.1.222,48.78.81.216,6,37949,139274
2025-12-14 21:23:13,plug_bedroom,smart_plug,192.168.1.154,36.197.195.239,2,40285,76168
2025-12-14 21:23:13,lock_frontdoor,smart_lock,192.168.1.137,84.5.58.136,1,22302,31731
2025-12-14 21:23:13,speaker_kitchen,smart_speaker,192.168.1.198,184.174.57.150,11,133150,153511
2025-12-14 21:28:13,cam_livingroom,camera,192.168.1.113,60.232.1.134,27,437186,471944
