timestamp,device_id,device_type,src_ip,dst_ip,connection_count,bytes_sent,bytes_received,is_anomaly,anomaly_score,severity
2025-12-14 21:13:13,speaker_kitchen,smart_speaker,192.168.1.120,117.138.112.166,140,836768,1023071,True,-0.18925562847241906,HIGH
2025-12-15 08:18:13,cam_livingroom,camera,192.168.1.46,110.109.95.140,114,2093949,6102569,True,-0.24407123488175753,HIGH
2025-12-15 15:08:13,cam_livingroom,camera,192.168.1.46,144.48.153.19,231,3136130,1468992,True,-0.2417615142246654,HIGH
2025-12-15 20:28:13,cam_livingroom,camera,192.168.1.41,87.153.241.63,243,1827250,2308220,True,-0.24007705003947566,HIGH
2025-12-15 21:43:13,cam_livingroom,camera,192.168.1.129,182.38.109.147,330,1382942,4009432,True,-0.25080329584621397,HIGH
2025-12-15 23:53:13,speaker_kitchen,smart_speaker,192.168.1.213,148.16.32.172,110,828702,1520876,True,-0.19515387111582905,HIGH
2025-12-16 02:58:13,cam_livingroom,camera,192.168.1.147,135.155.47.87,351,2344932,5058060,True,-0.26166831913517674,HIGH
2025-12-16 04:03:13,cam_livingroom,camera,192.168.1.71,143.40.184.203,280,2967132,3594888,True,-0.2582221581299936,HIGH
2025-12-16 07:03:13,cam_livingroom,camera,192.168.1.104,175.139.105.94,392,4901160,6368516,True,-0.27354881881932835,HIGH
2025-12-16 07:28:13,cam_livingroom,camera,192.168.1.196,164.227.83.157,270,2524774,6843468,True,-0.26628501639248525,HIGH
2025-12-16 07:38:13,cam_livingroom,camera,192.168.1.111,155.171.92.217,114,2860186,2851058,True,-0.23929420735951512,HIGH
2025-12-16 14:08:13,cam_livingroom,camera,192.168.1.164,42.109.1.222,300,2869167,4088848,True,-0.26195613119935346,HIGH
2025-12-16 20:28:13,cam_livingroom,camera,192.168.1.72,185.199.110.153,5000,20000000,20000000,True,-0.3092539548325036,HIGH
2025-12-16 20:33:13,cam_livingroom,camera,192.168.1.27,185.199.110.153,5000,20000000,20000000,True,-0.3092539548325036,HIGH
2025-12-16 20:38:13,cam_livingroom,camera,192.168.1.195,185.199.110.153,5000,20000000,20000000,True,-0.3092539548325036,HIGH
2025-12-16 20:43:13,cam_livingroom,camera,192.168.1.142,185.199.110.153,5000,20000000,20000000,True,-0.3092539548325036,HIGH
2025-12-16 20:48:13,cam_livingroom,camera,192.168.1.219,185.199.110.153,5000,20000000,20000000,True,-0.3092539548325036,HIGH
2025-12-16 20:53:13,cam_livingroom,camera,192.168.1.139,185.199.110.153,5000,20000000,20000000,True,-0.3092539548325036,HIGH
2025-12-16 20:58:13,cam_livingroom,camera,192.168.1.224,185.199.110.153,5000,20000000,20000000,True,-0.3092539548325036,HIGH
2025-12-14 21:23:13,cam_livingroom,camera,192.168.1.58,55.252.46.24,24,456464,122531,True,-0.012127131135880598,LOW
2025-12-14 22:28:13,cam_livingroom,camera,192.168.1.226,86.91.135.19,35,420492,300417,True,-0.012889379176316051,LOW
2025-12-14 22:53:13,cam_livingroom,camera,192.168.1.61,118.78.109.32,35,475534,418879,True,-0.018238081543017093,LOW
2025-12-14 23:58:13,cam_livingroom,camera,192.168.1.236,91.92.223.251,22,438858,117581,True,-0.007696734391091309,LOW
2025-12-15 01:33:13,cam_livingroom,camera,192.168.1.96,99.166.43.26,24,514227,665942,True,-0.017514228057762038,LOW
